Name,Street Address,Zip Code,State,Phone,Fax,Email,Website,Category
Freiburg: TAXI Freiburg 55.55.55 GmbH,Lörracher Straße 33,79115 Freiburg,Baden-Württemberg,+49 76 15596 830,+497615596859,info@taxi-freiburg.de,http://www.taxi-freiburg.de,Taxi-Zentralen
Hamburg: Taxi Hamburg 6x6 GmbH & Co. KG,Grindelhof 52,20146 Hamburg,Hamburg,+49 40 66 66 66,+49 40 6829 088,info@taxihamburg.de,http://www.taxihamburg.de,Taxi-Zentralen
Leverkusen: Taxiruf Leverkusen 3333 eG,Moosweg 1,51377 Leverkusen,Nordrhein-Westfalen,+49214  3333,+49214  33333,taxi@taxiruf3333.de,http://www.taxiruf-lev-3333.de,Taxi-Zentralen
Köln: TAXI RUF Köln wirtschaftliche Vereinigung Kölner Taxiunternehmer eG,Bonner Wall 37,50677 Köln,Nordrhein-Westfalen,+49221 168080,+49221 16808117,info@taxiruf.de,http://www.taxiruf.de,Taxi-Zentralen
Wiesbaden: Funk-Taxi-Dienst Wiesbaden e. G.,Steinmetzstr. 2,65197 Wiesbaden,Hessen,+49611 495263,info@taxi-444444.de,,http://www.taxi-444444.de,Taxi-Zentralen
Kiel: Kieler Funk-Taxi-Zentrale eG,Am Kiel-Kanal 11,24106 Kiel,Schleswig-Holstein,+49431 681873,+49431 687951,info@taxikiel.de,http://www.taxikiel.de,Taxi-Zentralen
Braunschweig: Taxi-Ruf Braunschweig GmbH,Dresdenstraße 131,38124 Braunschweig,Niedersachsen,+49531 666666,+49531 66696,info@taxi-braunschweig.de,http://www.taxi-braunschweig.de,Taxi-Zentralen
Hamburg: Taxenvermittlung Funktaxenruf Harburg GmbH,Beckerberg 2,21073 Hamburg,Hamburg,+4940 774353,+4940 76754247,info@funktaxi-harburg.de,http://www.funktaxi-harburg.de,Taxi-Zentralen
Hamburg: Funktaxi-Bergedorf eG,Achterdwars 18,21035 Hamburg,Hamburg,+49 40 7218 034,+49 40 7219 398 ,info@funktaxi-bergedorf.de,http://www.funktaxi-bergedorf.de,Taxi-Zentralen
Hamburg: DAS TAXI Funk & Service e.G.,Am Schiffbeker Berg 6a,22111 Hamburg,Hamburg,+49 40 221 122,+49 40 224 248,mail@das-taxi.de,http://www.das-taxi.de/,Taxi-Zentralen
Hamburg: Autoruf GmbH,Grindelhof 52,20146 Hamburg,Hamburg,+49 40 45011 100,+49 404 5011 101,info@autoruf.de,http://www.autoruf.de,Taxi-Zentralen
Magdeburg: Taxi & Mietwagen Genossenschaft Magdeburg eG,Große Diesdorfer Str. 47,39110 Magdeburg,Sachsen-Anhalt,+493917373755,taxiruf@taximagdeburg.de,,http://www.taximagdeburg.de,Taxi-Zentralen
Aschaffenburg: Taxi-Funk Aschaffenburg GmbH,Ludwigstr. 1,63739 Aschaffenburg,Bayern,+49 (0)6021 2 14 64,+49 (0) 6021 23039,zentrale@taxi-aschaffenburg.de,http://www.taxi-aschaffenburg.de,Taxi-Zentralen
Berlin: Taxi-Ruf WürfelFunk „0800-CABCALL“ AG,Persiusstr. 7,10245 Berlin,Berlin,+4930 210101,+4930 6902719,taxi@wuerfelfunk.de,http://www.wuerfelfunk.de,Taxi-Zentralen
Berlin: Funk Taxi Berlin,Persiusstraße 7,10245 Berlin,Berlin,+4930 261026,+4930 6902719,info@taxi-berlin.de,http://www.funk-taxi-berlin.de,Taxi-Zentralen
Essen: Taxi-Mietwagen-Ruf 211 212 GmbH,Carolus-Magnus-Str. 12, 45356 Essen,Nordrhein-Westfalen,+49201 6161610,+4920161616129,info@taxi-211212.com,http://www.taxi-211212.com/,Taxi-Zentralen
Hamburg: Taxi Alstertal n.e.V.,Frahmredder 20,22393 Hamburg,Hamburg,+49 40 6003 040,+49 40 69795 388,info@taxialstertal.de,http://www.taxialstertal.de,Taxi-Zentralen
Hamburg: Funk-Taxi Wilhelmsburg GmbH,Buschwerder Winkel 7,21107 Hamburg,Hamburg,+49 40 75 77 00,040 - 30 79 643,info@taxi-wilhelmsburg.de,http://www.taxi-wilhelmsburg.de,Taxi-Zentralen
Hamburg: Taxenanruf Blankenese e. V. (TAB),Erik-Blumenfeld-Platz 5,22587 Hamburg,Hamburg,040 – 86 06 02,040 – 86 55 51,info@taxiblankenese.de,http://www.taxiblankenese.de,Taxi-Zentralen
Kassel: Taxi-Service-Zentrale Kassel GmbH,Am Bettenhäuser Bahnhof 5,34123 Kassel,Hessen,+49 56 188 111,+49 56 1880 163,info@kassel-taxi.de,http://www.kassel-taxi.de,Taxi-Zentralen
Oldenburg: Dobben Taxi,Elbestr. 11,26135 Oldenburg,Niedersachsen,taxi.bohe@gmail.com,,,http://www.taxiruf-oldenburg.de/,Taxi-Zentralen
Göttingen: Göttinger Funk-Taxi-Zentrale GbR,Ernst-Ruhstrat-Straße 3,37079 Göttingen,Niedersachsen,+49551 693030,kontakt@taxi-goettingen.de,,http://www.taxi-goettingen.de,Taxi-Zentralen
Darmstadt: Taxi Funk Darmstadt e.G.,Bismarck Str. 20,64293 Darmstadt,Hessen,+49 61 51871 527,+49 61 51895 193,info@taxi-funk-darmstadt.de,http://www.taxi-funk-darmstadt.de,Taxi-Zentralen
Augsburg: Taxi Augsburg eG,Johannes-Haag-Str. 28a,86153 Augsburg,Bayern,0821-35025,+49-821-36340,info@taxi-augsburg.de,http://www.taxi-augsburg.de,Taxi-Zentralen
Ingolstadt: Taxi-Funk Ingolstadt GmbH & Co KG,Hindenburgstraße 50,85057 Ingolstadt,Bayern,0841/19410,+4984185550,post@taxi-ingolstadt.de,http://www.taxi-ingolstadt.de,Taxi-Zentralen
Regensburg: Taxi Regensburg eG,Am Stärzenbach 6,93047 Regensburg,Bayern,0941 – 57 000,+499415852240,taxi-regensburg@t-online.de,http://www.taxi-regensburg.com,Taxi-Zentralen
Würzburg: Taxi Würzburg eG,Sieboldstraße 2,97072 Würzburg,Bayern,0931-19410,0931-7966233,info@taxi-wuerzburg.de,http://www.taxi-wuerzburg.de,Taxi-Zentralen
Kempten: Taxi-Funk e.G. Kempten,Ulmer Straße 22,87437 Kempten,Bayern,(0831) 2 33 33,0831 168 59,info@taxifunk-kempten.de,http://www.taxifunk-kempten.de,Taxi-Zentralen
Bad Tölz: Isar Taxi Bad Tölz,Königsdorfer Str. 49,83646 Bad Tölz,Bayern,+49 8041 - 2911,info@isartaxi-badtoelz.de,,https://www.isartaxi-badtoelz.de/start.html,Taxi-Zentralen
Landshut: Taxi-Zentrale Landshut e.G.,Isargestade 735,84028 Landshut,Bayern,+49871 22011,+49871 22013,zentrale@taxi-landshut.info,http://www.taxi-landshut.info,Taxi-Zentralen
Oldenburg: IHRE Taxen- und Mobilitätszentrale GmbH / au­to-​geering city Taxen GmbH,Mellumstraße 1,26125 Oldenburg,Niedersachsen,+49441 30658,info@oldenburg-taxi.de,,http://www.oldenburg-taxi.de,Taxi-Zentralen
Bamberg: Bamberger Taxigenossenschaft e.G.,Moosstraße 111,96050 Bamberg,Bayern,+49951 916060,+49951 9160622,info@taxi-bamberg.de,http://www.taxi-bamberg.de,Taxi-Zentralen
Osnabrück: Osnabrücker Funk-Taxi-Zentrale 32011 eG,Winkelhausenstraße 9,49090 Osnabrück,Niedersachsen,+49541 32011,+49541 32010,kontakt@taxi32011.de,http://www.32011taxi.de,Taxi-Zentralen
Erlangen: Taxi Erlangen e.G.,Henkestr. 26,91054 Erlangen,Bayern,+499131 810440,+499131 8104422,kontakt@taxi-zentrale-erlangen.de,http://www.taxi-zentrale-erlangen.de,Taxi-Zentralen
Mülheim: TAXIZENTRALE CALL-CARS MÜLHEIM an der Ruhr,Reuterstr. 277,45472 Mülheim an der Ruhr,Nordrhein-Westfalen, +49208 411111, +49208 459459,info@taxicall-cars.de,http://www.call-cars.de,Taxi-Zentralen
Heilbronn: Taxi 22888 GmbH,Neckarsulmerstr. 45,74076 Heilbronn,Baden-Württemberg,+49 7131-79 77 606,+49 7131-79 77 607,info@taxi22888.de,http://www.taxi-heilbronn.de,Taxi-Zentralen
Saarbrücken: 1. Saarbrücker Taxigenossenschaft  eG,Mainzer Str. 52,66121 Saarbrücken,Saarland,+49681 910160,+49681 55001,buero@taxi-saarbruecken.de,http://www.taxi-saarbruecken.de,Taxi-Zentralen
Bremerhaven: Taxi-Lloyd GmbH & Co,Deichstr. 70,27568 Bremerhaven,,+49471 400055,info@taxi-lloyd-bremerhaven.de,,http://www.taxi-lloyd-bremerhaven.de/,Taxi-Zentralen
Salzgitter: Taxi-Ruf Salzgitter GmbH,Gehrbusch 11 - 13,38228 Salzgitter,Niedersachsen,+495341 659090,+495341 659092,info@taxisalzgitter.de,http://www.taxisalzgitter.de,Taxi-Zentralen
Lippstadt: Taxizentrale RoLi GbR,Westernkötter Str. 189,59557 Lippstadt,Nordrhein-Westfalen,+492941 10103,+492941 22110,info@taxi-roli.de,http://www.taxiroli.de,Taxi-Zentralen
Ulm: Taxen Zentrale Ulm e.G.,Multscherstr. 2,89077 Ulm,Baden-Württemberg,+49731 66 0 66,+49731 37 95 11 11,auftrag@ulm-taxi.de,http://www.ulm-taxi.de,Taxi-Zentralen
Celle: TFR Taxen-Funk-Ruf GmbH,Kronestr. 30,29221 Celle,Niedersachsen,+495141 28001,+495141 23333,zentrale@taxi28001.de,http://www.taxi28001.de,Taxi-Zentralen
Wolfsburg: City-Taxi und Mietwagen Zentrale GmbH,Daimlerstraße 24,38446 Wolfsburg,Niedersachsen,+495361 23023,+49536123045,zentrale@city-taxi-wolfsburg.de,http://www.city-taxi-wolfsburg.de/,Taxi-Zentralen
Saarbrücken: Taxi Saarbrücken eG,Ursulinenstr. 42,66111 Saarbrücken,Saarland,+49681 33033,+49681 34524,info@taxi-sb.de,http://www.taxi-sb.de,Taxi-Zentralen
Gießen: Taxi-Blitz Beförderungsgruppe GmbH & Co. KG,Margaretenhütte 45,35398 Gießen,Hessen,+49 641 962 020 ,+49 64 19620 215,info@taxi-blitz.de,http://www.taxi-blitz.de,Taxi-Zentralen
Lüdenscheid: Lüdenscheider-Taxen-Funk-Zentrale,Bahnhofsallee 14,58507 Lüdenscheid,Nordrhein-Westfalen,+492351 4455,+492351 3111,info@taxi-luedenscheid.com,http://www.taxi-luedenscheid.com,Taxi-Zentralen
Leipzig:  4884 - Ihr Funktaxi Älteste Leipziger Funktaxenzentrale GmbH,Lützner Straße 179,04179 Leipzig,Sachsen,+49341 4949300,+493414949303,info@taxi4884.de,http://www.taxi4884.de,Taxi-Zentralen
Schwerin: Schweriner Taxigenossenschaft eG,Wallstraße 66,19053 Schwerin,Mecklenburg-Vorpommern,+49385 717171,+49385 710573,info@schweriner-taxigenossenschaft.de,http://www.sn-taxi.de,Taxi-Zentralen
Hildesheim: Taxenzentrale 55555 GbR,Daimlerring 1,31135 Hildesheim,Niedersachsen,+495121 517576,info@hildesheim.taxi,,http://www.taxenzentrale-55555.de,Taxi-Zentralen
Aachen: Taxiruf Aachener Autodroschken-Vereinigung w. V.,Bendelstr. 28-30,52062 Aachen,Nordrhein-Westfalen,+49241 36911,+4924135000,info@taxiruf-aav.de,http://www.taxiruf-aav.de,Taxi-Zentralen
Cottbus: Taxigenossenschaft Cottbus e.G.,Leipziger Str. 45,03048 Cottbus,Brandenburg,+49355 23334,info@taxicottbus.de,,http://www.taxicottbus.de,Taxi-Zentralen
Böblingen: Taxi-Zentrale Böblingen-Sindelfingen,Waldburgstraße 1,71032 Böblingen,Baden-Württemberg, +497031 19410,+497031 236163,info@taxi-boeblingen-sindelfingen.com,http://www.taxi-böblingen-sindelfingen.de,Taxi-Zentralen
Frankfurt: Taxi68 - TIV Taxi Ihres Vertrauens GmbH,Ziegelhüttenweg 22,60598 Frankfurt am Main,Hessen,+49 69 68 68 68,+49 69 907437 229,info@taxi68.de,http://www.taxi68.de,Taxi-Zentralen
Lübeck: Lübecker Funktaxen Mini Taxi GmbH & Co KG,Schützenstr. 20,23358 Lübeck,Schleswig-Holstein,+49451 81122,+4945184840,info@luebecker-funktaxen.de,http://www.luebecker-funktaxen.de,Taxi-Zentralen
Völklingen: Taxi Völklingen UG,Rathausstr. 53,66333 Völklingen,Saarland,+496898 23030,+496898 87164,info@taxi-voelklingen.de,http://www.taxi-voelklingen.de,Taxi-Zentralen
Landkreis Neunkirchen,Saarbrücker Straße 1,66538 Neunkirchen,Saarland,+496824   9067040,+496824  9067050,cp.kesselring@landkreis-neunkirchen.de,http://www.landkreis-neunkirchen.de,Genehmigungsbehörden
Landkreis Merzig-Wadern,Bahnhofstraße 44,66663 Merzig,Saarland,+496861   80314,+496861  80319,s.nogues@merzig-wadern.de,http://www.merzig-wadern.de,Genehmigungsbehörden
Landesverband Verkehrsgewerbe Saarland (LVS) e.V.,Metzer Str. 123,66117 Saarbrücken,Saarland,+49681 92500,+49681 9250190,info@lvs-saar.de,http://www.lvs-saar.de/,Taxi-Verbände
IHK des Saarlandes,Franz-Josef-Röder-Straße 9,66119 Saarbrücken,Saarland,+49681   95 20810,+49681  95 20889,michael.arnold@saarland.ihk.de,http://www.saarland.ihk.de,IHK-Vertretungen
Neumünster: Taxi 44444 Neumünster e.G.,Altonaer Str. 35,24534 Neumünster,Schleswig-Holstein,+494321 5554551,+494321 5554552,zentrale@44444taxi.com,https://taxi44444.com/,Taxi-Zentralen
Leipzig: Funk Taxi Leipzig GmbH,Moritz-Nebe-Weg 5a,04824 Beucha,Sachsen,+49341 600500,600500@Funktaxi-Leipzig.de,,http://www.Funktaxi-Leipzig.de,Taxi-Zentralen
Weimar: Funk-Taxi-Zentrale Weimar GbR,August-Baudert-Platz 3,99423 Weimar,Thüringen,+493643 7736862,,,,Taxi-Zentralen
"Gera: Taxi-Ruf Gera, Genossenschaft der Geraer Taxiunternehmer e.G.",Gagarinstraße 31,07545 Gera,Thüringen,+49365 8310140,+49365 55201852,info@taxi-gera.de,http://www.taxi-gera.de,Taxi-Zentralen
Eisenach: Taxi- und Mietwagengenossenschaft Eisenach e.G.,Bahnhofstr. 35,99817 Eisenach,Thüringen,+493691 29000,+493691 290029,webmaster@taxi-fuer-eisenach.de,http://www.taxi-fuer-eisenach.de,Taxi-Zentralen
Jena: Taxigenossenschaft Jena e. G.,Grietgasse 12,07743 Jena,Thüringen,+493641 458845,+493641 458899,info@jenataxi.de,http://www.jenataxi.de,Taxi-Zentralen
Erfurt: Das City Taxi AG,Bebelstraße 15,99086 Erfurt,Thüringen,+49361 55 5530,+4936155 5533,info@dascitytaxi.de,http://www.dascitytaxi.de,Taxi-Zentralen
Jena: City-Taxi-Jena,Ernst- Abbe- Platz 5,07743 Jena,Thüringen,+493641450659,info@city-taxi-jena.de,,,Taxi-Zentralen
Frankfurt: TaxiRuf 20304 / Time Car Taxi & Mietwagen GmbH,Ziegelhüttenweg 22,60598 Frankfurt,Hessen,+49 69 63199 177,+49 69 6312 980,kontakt@taxi20304.de,http://www.timecar.de,Taxi-Zentralen
Kaarst: Funk-Taxi-Zentrale Kaarst GbR,Rurstraße 15 a,41564 Kaarst,Nordrhein-Westfalen,+492131   69 0 69,+492131  450 420,TaxiKaarst@gmx.de,https://taxikaarst.de/,Taxi-Zentralen
Fulda: Taxizentrale Fulda e.V.,Buttlarstr. 33,36039 Fulda,Hessen,+49 66 1601 010,+49 66 1601 000 ,info@taxizentrale-fulda.de,http://www.taxizentrale-fulda.de,Taxi-Zentralen
Hamm: Taxengemeinschaft Hamm GbR,Nassauerstr. 39,59065 Hamm,Nordrhein-Westfalen,+492381 123 45,+492381200 36,taxen-hamm@t-online.de,,Taxi-Zentralen
Mühlheim: Fleskes Taxenbetriebsgesellschaft mbH,Zinkhüttenstr. 29,45473 Mülheim an der Ruhr,Nordrhein-Westfalen,+49208   33333,+49208  999333,info@taxi-fleskes.com,http://taxi-fleskes.com,Taxi-Zentralen
Siegen: Taxi-Schmidt GmbH,Auf der Schemscheid 64,57072 Siegen,Nordrhein-Westfalen,+49271 3757333,+49271 31371520,gerold.schmidt@taxi-schmidt-siegen.de,http://www.taxi-schmidt-siegen.de,Taxi-Zentralen
Langenhagen: Taxengemeinschaft Langenhagen GmbH,Walsroder Str. 62,30853 Langenhagen,Niedersachsen,+49511 7798940,verwaltung@taxi-730101.de,,http://www.taxi-730101.de,Taxi-Zentralen
Rosenheim: Inn-Taxi GmbH & Co. KG,Chiemseestr. 6,83022 Rosenheim,Bayern,+49 (0) 8031 2309 0,+49 (0) 8031 2309 199,info@inn-taxi.de,http://www.inn-taxi.de,Taxi-Zentralen
Landsberg am Lech: Taxi-Zentrale Landsberg am Lech,Hauptplatz 175,86899 Landsberg am Lech,Bayern,info@taxizentrale-landsberg.info,,,http://www.taxizentrale-landsberg.info,Taxi-Zentralen
Baden-Baden: TAXI Baden-Baden 38111 GmbH,Wilhelm-Drapp-Str. 17b,76532 Baden-Baden,Baden-Württemberg,+497221 1536,zentrale@taxi38111.de,,http://www.taxi38111.de,Taxi-Zentralen
Frankfurt: Taxi Now Frankfurt,Frankenallee 189,60326 Frankfurt am Main,Hessen,+49 69 558 800,info@taxi-55.de,,http://www.taxi-55.de,Taxi-Zentralen
Bad Pyrmont: Pyrmonter Taxizentrale e.V,Europaplatz 1a,31812 Bad Pyrmont,Niedersachsen,+495281 8910,info@taxi-badpyrmont.de,,http://www.taxi-badpyrmont.de/,Taxi-Zentralen
Landkreis Saarlouis,Kaiser Wilhelm Straße 4-6,66740 Saarlouis,Saarland,+496841   444137,+496831  444308,amt36@kreis-saarlouis.de,http://www.kreis-saarlouis.de,Genehmigungsbehörden
Offenbach: Taxi-Ruf Offenbach GbR  „Die Fledermäuse“,Grabenstr. 12c,63071 Offenbach,Hessen,+49 69 818 282,+49 69 83835 939,info@taxiruf-of.de,http://www.taxiruf-of.de,Taxi-Zentralen
Koblenz: Taxity – Koblenzer Taxi-Service UG,Mayer-Alberti-Str. 25,56070 Koblenz,Rheinland-Pfalz,+49261 40302010,+49261 40302011,info@taxity-koblenz.de,https://taxity-koblenz.de/,Taxi-Zentralen
Erfurt: Taxigenossenschaft Erfurt e.G.,Eugen-Richter-Str. 44,99085 Erfurt,Thüringen,+49361 5768329,info@taxi-erfurt.eu,,https://www.taxi-erfurt.eu,Taxi-Zentralen
Hamburg: CarryCab Hamburg GmbH,Ruhrstraße 90,22761 Hamburg,Hamburg,+4940 408040,+4940 82296754,info@carrycab.de,http://www.carrycab.de,Taxi-Zentralen
Ingolstadt: Alpha Taxizentrale,Steinheilstraße  1,85053  Ingolstadt,Bayern,+498419008908,info@alphataxizentrale.de,,https://alphataxizentrale.de/,Taxi-Zentralen
Eisenach: Taxi Zentrale Eisenach,Mühlhäuser Str. 6,99817 Eisenach,Thüringen,info@taxi-eisenach.com,,,https://www.taxi-eisenach.com,Taxi-Zentralen
Baden-Baden: Taxi-Holl,Aschmattstr. 5,76532 Baden-Baden,Baden-Württemberg,+49 7221 55 5 55,+49 7221 3 99 89 59,mail@taxi-holl.de,https://www.taxi-holl.de,Taxi-Zentralen
